fiscal_year,project_title,neighborhood,planning_district,program_name,cip_year_id
2024,Baltimore National Heritage Area Small Capital Grant Program,Cherry Hill,South Planning District,Baltimore National Heritage Area Small Capital Grant Program,127-110_2024
2024,Baltimore National Heritage Area Small Capital Grant Program,Lakeland,South Planning District,Baltimore National Heritage Area Small Capital Grant Program,127-110_2024
2024,Baltimore National Heritage Area Small Capital Grant Program,Mount Winans,South Planning District,Baltimore National Heritage Area Small Capital Grant Program,127-110_2024
2024,Baltimore National Heritage Area Small Capital Grant Program,Westport,South Planning District,Baltimore National Heritage Area Small Capital Grant Program,127-110_2024
2024,Baltimore Symphony Orchestra Garage Assessment & Repairs,Mid-Town Belvedere,Central Planning District,Cultural Spaces Capital Support Fund,127-117_2024
2024,American Visionary Art Museum Climate Control,Federal Hill,South Planning District,Cultural Spaces Capital Support Fund,127-118_2024
2024,Black Arts District Sanaa Center  Development,Upton,West Planning District,Cultural Spaces Capital Support Fund,127-122_2024
2024,Fells Point Corner Theater HVAC Replacement,Upper Fells Point,East Planning District,Cultural Spaces Capital Support Fund,127-123_2024
2024,Area 405 Rehabilitation,Greenmount West,North Planning District,Cultural Spaces Capital Support Fund,127-134_2024
2024,Lumina Theater,Millhill,Southwest Planning District,Cultural Spaces Capital Support Fund,127-137_2024
2024,Maryland Art Place Elevator Replacement,Downtown,Downtown Planning District,Cultural Spaces Capital Support Fund,127-140_2024
2024,Maryland Science Center HVAC Modernization,Inner Harbor,Downtown Planning District,Cultural Spaces Capital Support Fund,127-141_2024
2024,National Aquarium Critical Infrastructure Upgrades,Inner Harbor,Downtown Planning District,Cultural Spaces Capital Support Fund,127-143_2024
2024,Walters Art Museum Facilities,Mount Vernon,Central Planning District,Cultural Spaces Capital Support Fund,127-146_2024
2024,Pier Six Pavilion Infrastructure Improvements,Inner Harbor,Downtown Planning District,Cultural Spaces Capital Support Fund,127-154_2024
2023,Baltimore Museum of Art Fire Suppression and Related Improvements,Johns Hopkins Homewood,North Planning District,Cultural Spaces Capital Support Fund,127-043_2023
